# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.55667       	omega         	1.335593e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55706       	U             	(-5.999546e-01 -3.803242e-02 -3.885752e-27)	(8.124297e-03 1.566164e-02 1.100000e-02)	0	(1.139113e+01 1.398015e+00 8.542360e-28)	(7.168677e-03 1.824380e-02 1.100000e-02)	0
1.55706       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.525576e+01	(3.599826e-02 1.444600e-02 1.100000e-02)	1
1.55706       	p_rgh         	1.632359e+03	(3.762546e-02 1.391358e-02 1.100000e-02)	1	7.020949e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55706       	omega         	1.336551e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55745       	U             	(-1.315986e+00 -2.333362e-01 -4.036939e-27)	(6.739702e-03 1.615563e-02 1.100000e-02)	0	(1.140421e+01 1.392434e+00 8.770780e-28)	(7.168677e-03 1.824380e-02 1.100000e-02)	0
1.55745       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273393e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.55745       	p_rgh         	1.630157e+03	(3.793515e-02 1.322967e-02 1.100000e-02)	1	7.015981e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55745       	omega         	1.337523e+02	(1.107815e+00 -9.572856e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55784       	U             	(-1.060292e+00 -1.370972e-01 -5.698559e-27)	(7.263415e-03 1.625551e-02 1.100000e-02)	0	(1.216005e+01 1.447735e+00 8.523707e-28)	(7.077043e-03 2.028462e-02 1.100000e-02)	0
1.55784       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273394e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.55784       	p_rgh         	1.629835e+03	(3.861556e-02 1.339674e-02 1.100000e-02)	1	7.011161e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55784       	omega         	1.338468e+02	(1.107815e+00 -9.572856e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55823       	U             	(-1.044883e+00 -4.243814e-01 -2.530640e-26)	(7.432299e-03 1.610071e-02 1.100000e-02)	0	(1.133276e+01 1.398489e+00 8.680059e-28)	(7.168677e-03 1.824380e-02 1.100000e-02)	0
1.55823       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273395e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.55823       	p_rgh         	1.627307e+03	(3.895717e-02 1.344610e-02 1.100000e-02)	1	7.008180e+04	(1.111600e+00 -1.174524e-01 1.100000e-02)	9
1.55823       	omega         	1.339427e+02	(1.107815e+00 -9.572856e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55862       	U             	(-3.512888e-01 -1.170787e+00 -4.954429e-26)	(7.431107e-03 1.607082e-02 1.100000e-02)	0	(1.131346e+01 1.378080e+00 8.586972e-28)	(7.168677e-03 1.824380e-02 1.100000e-02)	0
1.55862       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273396e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.55862       	p_rgh         	1.624944e+03	(3.964622e-02 1.355869e-02 1.100000e-02)	1	7.010538e+04	(1.111600e+00 -1.174524e-01 1.100000e-02)	9
1.55862       	omega         	1.340395e+02	(1.107815e+00 -9.572856e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55901       	U             	(-9.300320e-01 -1.321991e+00 -3.719188e-26)	(7.074146e-03 1.587683e-02 1.100000e-02)	0	(1.106176e+01 2.985600e+00 5.531153e-27)	(-1.071475e-04 1.762649e-02 1.100000e-02)	2
1.55901       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273397e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.55901       	p_rgh         	1.621633e+03	(3.895069e-02 1.326734e-02 1.100000e-02)	1	7.013013e+04	(1.111600e+00 -1.175718e-01 1.100000e-02)	9
